epoch,stage,loss_deblur,loss_repair,loss_total,psnr_gopro,ssim_gopro,psnr_uhd,ssim_uhd
0,stage1,0.056999,0.000000,0.137134,10.5344,0.4689,0.0000,0.0000
1,stage1,0.035393,0.000000,0.073048,10.5583,0.4741,0.0000,0.0000
2,stage1,0.037863,0.000000,0.064556,10.5679,0.4750,0.0000,0.0000
3,stage1,0.033611,0.000000,0.064620,10.5101,0.4681,0.0000,0.0000
4,stage1,0.050831,0.000000,0.063409,10.4931,0.4664,0.0000,0.0000
5,stage1,0.024506,0.000000,0.062992,10.5632,0.4744,0.0000,0.0000
6,stage1,0.029965,0.000000,0.060483,10.5274,0.4704,0.0000,0.0000
7,stage1,0.036485,0.000000,0.061208,10.6926,0.4900,0.0000,0.0000
8,stage1,0.013984,0.000000,0.060410,10.6101,0.4825,0.0000,0.0000
9,stage1,0.046298,0.000000,0.060817,10.4812,0.4662,0.0000,0.0000
10,stage1,0.035652,0.000000,0.060555,10.5669,0.4768,0.0000,0.0000
11,stage1,0.027740,0.000000,0.060459,10.5509,0.4752,0.0000,0.0000
12,stage1,0.047606,0.000000,0.061757,10.4964,0.4672,0.0000,0.0000
13,stage1,0.023289,0.000000,0.058981,10.5884,0.4788,0.0000,0.0000
14,stage1,0.021300,0.000000,0.057848,10.5599,0.4754,0.0000,0.0000
15,stage1,0.025274,0.000000,0.058206,10.5693,0.4773,0.0000,0.0000
16,stage1,0.034506,0.000000,0.059201,10.5674,0.4760,0.0000,0.0000
17,stage1,0.021272,0.000000,0.058942,10.5804,0.4780,0.0000,0.0000
18,stage1,0.012684,0.000000,0.056969,10.5591,0.4754,0.0000,0.0000
19,stage1,0.015590,0.000000,0.058721,10.5776,0.4782,0.0000,0.0000
20,stage1,0.012007,0.000000,0.057046,10.5738,0.4769,0.0000,0.0000
21,stage1,0.025864,0.000000,0.057863,10.5761,0.4781,0.0000,0.0000
22,stage1,0.032265,0.000000,0.056824,10.6050,0.4805,0.0000,0.0000
23,stage1,0.035640,0.000000,0.057940,10.5869,0.4775,0.0000,0.0000
24,stage1,0.018531,0.000000,0.056213,10.5709,0.4761,0.0000,0.0000
25,stage1,0.029769,0.000000,0.057892,10.5488,0.4737,0.0000,0.0000
26,stage1,0.030810,0.000000,0.056612,10.6647,0.4882,0.0000,0.0000
27,stage1,0.035775,0.000000,0.056640,10.5560,0.4754,0.0000,0.0000
28,stage1,0.025006,0.000000,0.055502,10.5908,0.4799,0.0000,0.0000
29,stage1,0.047837,0.000000,0.056517,10.6051,0.4811,0.0000,0.0000
