epoch,stage,loss_deblur,loss_repair,loss_total,psnr_gopro,ssim_gopro,psnr_uhd,ssim_uhd
0,stage1,0.048809,0.000000,0.175299,25.9498,0.9756,0.0000,0.0000
1,stage1,0.024002,0.000000,0.073666,27.2416,0.9805,0.0000,0.0000
2,stage1,0.032650,0.000000,0.065386,27.3903,0.9812,0.0000,0.0000
3,stage1,0.037189,0.000000,0.064514,27.7059,0.9820,0.0000,0.0000
4,stage1,0.015571,0.000000,0.065883,27.7393,0.9822,0.0000,0.0000
5,stage1,0.026406,0.000000,0.063360,27.8146,0.9824,0.0000,0.0000
6,stage1,0.018471,0.000000,0.062779,27.8251,0.9825,0.0000,0.0000
7,stage1,0.035816,0.000000,0.063689,27.8696,0.9825,0.0000,0.0000
8,stage1,0.036272,0.000000,0.061557,28.0378,0.9831,0.0000,0.0000
9,stage1,0.033782,0.000000,0.061320,28.0713,0.9835,0.0000,0.0000
10,stage1,0.035182,0.000000,0.061346,28.0814,0.9834,0.0000,0.0000
11,stage1,0.044852,0.000000,0.061929,28.0569,0.9834,0.0000,0.0000
12,stage1,0.041112,0.000000,0.059286,28.2757,0.9839,0.0000,0.0000
13,stage1,0.029946,0.000000,0.060266,27.8983,0.9838,0.0000,0.0000
14,stage1,0.021255,0.000000,0.058299,28.3224,0.9842,0.0000,0.0000
15,stage1,0.024286,0.000000,0.058554,28.3867,0.9843,0.0000,0.0000
16,stage1,0.018302,0.000000,0.057677,28.3610,0.9841,0.0000,0.0000
