epoch,stage,loss_deblur,loss_repair,loss_total,psnr_gopro,ssim_gopro,psnr_uhd,ssim_uhd
0,stage1,0.038806,0.000000,0.150229,25.5526,0.9735,0.0000,0.0000
1,stage1,0.025616,0.000000,0.077255,26.8226,0.9794,0.0000,0.0000
2,stage1,0.043445,0.000000,0.065650,27.4316,0.9819,0.0000,0.0000
3,stage1,0.028409,0.000000,0.065285,27.6835,0.9821,0.0000,0.0000
4,stage1,0.045077,0.000000,0.062748,27.7698,0.9822,0.0000,0.0000
5,stage1,0.016958,0.000000,0.063683,27.8644,0.9825,0.0000,0.0000
6,stage1,0.017497,0.000000,0.062573,27.7987,0.9823,0.0000,0.0000
7,stage1,0.037914,0.000000,0.063231,27.9302,0.9828,0.0000,0.0000
8,stage1,0.024181,0.000000,0.061473,28.1258,0.9834,0.0000,0.0000
9,stage1,0.063173,0.000000,0.060878,28.1522,0.9836,0.0000,0.0000
10,stage1,0.028303,0.000000,0.061459,28.2770,0.9838,0.0000,0.0000
11,stage1,0.040230,0.000000,0.061085,28.2959,0.9841,0.0000,0.0000
12,stage1,0.040194,0.000000,0.060453,28.3010,0.9839,0.0000,0.0000
13,stage1,0.021604,0.000000,0.060017,28.3138,0.9841,0.0000,0.0000
14,stage1,0.018429,0.000000,0.059121,28.4021,0.9842,0.0000,0.0000
15,stage1,0.037918,0.000000,0.060062,28.2999,0.9839,0.0000,0.0000
16,stage1,0.017840,0.000000,0.058711,28.3193,0.9840,0.0000,0.0000
17,stage1,0.037398,0.000000,0.058765,28.3646,0.9844,0.0000,0.0000
18,stage1,0.022653,0.000000,0.057944,28.0240,0.9841,0.0000,0.0000
19,stage1,0.018324,0.000000,0.058475,28.4014,0.9842,0.0000,0.0000
20,stage1,0.028439,0.000000,0.057353,28.3966,0.9844,0.0000,0.0000
21,stage1,0.030141,0.000000,0.056999,28.3297,0.9840,0.0000,0.0000
22,stage1,0.037135,0.000000,0.058931,28.5020,0.9846,0.0000,0.0000
23,stage1,0.033615,0.000000,0.056786,28.3569,0.9843,0.0000,0.0000
24,stage1,0.022720,0.000000,0.056921,28.3455,0.9844,0.0000,0.0000
25,stage1,0.016800,0.000000,0.056880,28.3183,0.9844,0.0000,0.0000
26,stage1,0.038241,0.000000,0.056116,28.3834,0.9845,0.0000,0.0000
27,stage1,0.029286,0.000000,0.056900,28.4658,0.9845,0.0000,0.0000
28,stage1,0.028716,0.000000,0.056613,28.3804,0.9843,0.0000,0.0000
29,stage1,0.026419,0.000000,0.055841,28.5460,0.9848,0.0000,0.0000
