epoch,stage,loss_deblur,loss_repair,loss_total,psnr_gopro,ssim_gopro,psnr_uhd,ssim_uhd
0,stage1,0.033167,0.000000,0.161749,25.6634,0.9735,0.0000,0.0000
1,stage1,0.020583,0.000000,0.072588,27.2208,0.9805,0.0000,0.0000
2,stage1,0.042746,0.000000,0.066102,27.1292,0.9801,0.0000,0.0000
3,stage1,0.033767,0.000000,0.063528,27.7007,0.9821,0.0000,0.0000
4,stage1,0.022433,0.000000,0.062295,27.7772,0.9821,0.0000,0.0000
5,stage1,0.011597,0.000000,0.063681,27.8343,0.9825,0.0000,0.0000
6,stage1,0.025593,0.000000,0.061163,27.8493,0.9826,0.0000,0.0000
7,stage1,0.043593,0.000000,0.062587,27.9062,0.9827,0.0000,0.0000
8,stage1,0.033224,0.000000,0.061250,28.0297,0.9831,0.0000,0.0000
9,stage1,0.033216,0.000000,0.062170,28.0868,0.9833,0.0000,0.0000
10,stage1,0.034890,0.000000,0.061315,28.1934,0.9836,0.0000,0.0000
11,stage1,0.040666,0.000000,0.061063,27.9151,0.9832,0.0000,0.0000
12,stage1,0.027838,0.000000,0.060181,28.2249,0.9838,0.0000,0.0000
13,stage1,0.028298,0.000000,0.059833,28.1235,0.9835,0.0000,0.0000
14,stage1,0.022495,0.000000,0.060598,28.3108,0.9841,0.0000,0.0000
15,stage1,0.020792,0.000000,0.059110,28.1961,0.9838,0.0000,0.0000
16,stage1,0.025510,0.000000,0.059585,28.2837,0.9843,0.0000,0.0000
17,stage1,0.030531,0.000000,0.058418,28.3267,0.9841,0.0000,0.0000
18,stage1,0.039304,0.000000,0.058578,28.4437,0.9845,0.0000,0.0000
19,stage1,0.019912,0.000000,0.057925,28.4080,0.9843,0.0000,0.0000
20,stage1,0.043175,0.000000,0.057916,28.3995,0.9843,0.0000,0.0000
21,stage1,0.029160,0.000000,0.056795,28.4317,0.9845,0.0000,0.0000
22,stage1,0.036474,0.000000,0.056668,28.3546,0.9842,0.0000,0.0000
23,stage1,0.027212,0.000000,0.057558,28.4271,0.9843,0.0000,0.0000
24,stage1,0.016464,0.000000,0.056898,28.3527,0.9841,0.0000,0.0000
25,stage1,0.038756,0.000000,0.057501,28.5353,0.9847,0.0000,0.0000
26,stage1,0.019951,0.000000,0.057846,28.4988,0.9846,0.0000,0.0000
27,stage1,0.034373,0.000000,0.056364,28.4506,0.9845,0.0000,0.0000
28,stage1,0.052656,0.000000,0.057289,28.5421,0.9848,0.0000,0.0000
29,stage1,0.018606,0.000000,0.056126,28.5072,0.9847,0.0000,0.0000
